Shower,Date,UTC,ZHR
Quadrantids,"Wed, 2001-01-03",11:42,120
Lyrids,"Sun, 2001-04-22",09:58,18
EAquarids,"Sat, 2001-05-05",23:28,50
DAquarids,"Sat, 2001-07-28",00:27,20
Perseids,"Sun, 2001-08-12",16:27,80
Draconids,"Mon, 2001-10-08",15:37,5
Orionids,"Sun, 2001-10-21",08:41,25
Taurids,"Fri, 2001-11-02",09:21,10
Leonids,"Sat, 2001-11-17",14:03,16
Geminids,"Fri, 2001-12-14",04:00,120
Quadrantids,"Thu, 2002-01-03",17:56,120
Lyrids,"Mon, 2002-04-22",16:04,18
EAquarids,"Mon, 2002-05-06",05:41,50
DAquarids,"Sun, 2002-07-28",06:41,20
Perseids,"Mon, 2002-08-12",22:31,80
Draconids,"Tue, 2002-10-08",21:41,5
Orionids,"Mon, 2002-10-21",14:52,25
Taurids,"Sat, 2002-11-02",15:31,10
Leonids,"Sun, 2002-11-17",20:13,16
Geminids,"Sat, 2002-12-14",10:07,120
Quadrantids,"Sat, 2003-01-04",00:02,120
Lyrids,"Tue, 2003-04-22",22:08,18
EAquarids,"Tue, 2003-05-06",11:36,50
DAquarids,"Mon, 2003-07-28",12:48,20
Perseids,"Wed, 2003-08-13",04:44,80
Draconids,"Thu, 2003-10-09",03:55,5
Orionids,"Tue, 2003-10-21",21:06,25
Taurids,"Sun, 2003-11-02",21:39,10
Leonids,"Tue, 2003-11-18",02:28,16
Geminids,"Sun, 2003-12-14",16:23,120
Quadrantids,"Sun, 2004-01-04",06:12,120
Lyrids,"Thu, 2004-04-22",04:16,18
EAquarids,"Wed, 2004-05-05",17:51,50
DAquarids,"Tue, 2004-07-27",18:59,20
Perseids,"Thu, 2004-08-12",10:58,80
Draconids,"Fri, 2004-10-08",10:05,5
Orionids,"Thu, 2004-10-21",03:07,25
Taurids,"Tue, 2004-11-02",03:48,10
Leonids,"Wed, 2004-11-17",08:26,16
Geminids,"Mon, 2004-12-13",22:21,120
Quadrantids,"Mon, 2005-01-03",12:19,120
Lyrids,"Fri, 2005-04-22",10:28,18
EAquarids,"Fri, 2005-05-06",00:03,50
DAquarids,"Thu, 2005-07-28",01:15,20
Perseids,"Fri, 2005-08-12",17:04,80
Draconids,"Sat, 2005-10-08",16:12,5
Orionids,"Fri, 2005-10-21",09:23,25
Taurids,"Wed, 2005-11-02",09:57,10
Leonids,"Thu, 2005-11-17",14:40,16
Geminids,"Wed, 2005-12-14",04:32,120
Quadrantids,"Tue, 2006-01-03",18:25,120
Lyrids,"Sat, 2006-04-22",16:38,18
