mode,parameter,frame,value
2D,Zoom,0,0.995
2D,Zoom,1450,0.9
2D,Zoom,1500,0.93
2D,Zoom,1800,0.99
2D,Zoom,2000,0.995
2D,Zoom,2500,1.005
2D,Zoom,4000,1.01
2D,Zoom,4500,1.03
2D,Zoom,4950,1.03
2D,Zoom,5000,1.1
2D,Zoom,5500,1.03
2D,Zoom,6000,1.005
2D,Zoom,6950,1.005
2D,Zoom,7000,0.995
2D,Angle,0,0
2D,Angle,2250,0
2D,Angle,2300,0.5
2D,Angle,2400,0
2D,Angle,4450,0
2D,Angle,4500,0.5
2D,Angle,4600,0
2D,Angle,7450,0
2D,Angle,7500,-0.5
2D,Angle,7600,0
2D,Transform Center X,0,0
2D,Transform Center X,550,0
2D,Transform Center X,600,-0.5
2D,Transform Center X,650,-0.3
2D,Transform Center X,700,0
2D,Transform Center X,1750,0
2D,Transform Center X,1800,0.3
2D,Transform Center X,2300,0.4
2D,Transform Center X,3000,0.7
2D,Transform Center X,3500,0.5
2D,Transform Center X,4000,0
2D,Transform Center X,5000,0.2
2D,Transform Center X,6000,-0.2
2D,Transform Center X,7000,-0.3
2D,Transform Center X,7500,0.1
2D,Transform Center Y,0,0
2D,Transform Center Y,300,0.3
2D,Transform Center Y,600,0.5
2D,Transform Center Y,650,0
2D,Transform Center Y,1200,0
2D,Transform Center Y,1800,0.2
2D,Transform Center Y,2000,0
2D,Transform Center Y,2200,-0.3
2D,Transform Center Y,3000,0.1
2D,Transform Center Y,4000,0.2
2D,Transform Center Y,5000,0.3
2D,Transform Center Y,6000,0.4
2D,Transform Center Y,7000,0.1
2D,Translation X,0,0
2D,Translation X,2900,0
2D,Translation X,3000,2
2D,Translation X,3500,0
2D,Translation X,5500,0
2D,Translation X,6000,-5
2D,Translation X,6100,-3
2D,Translation X,6500,0
2D,Translation Y,0,0
2D,Translation Y,1900,0
2D,Translation Y,2000,-3
2D,Translation Y,2500,0
2D,Translation Y,3200,0
2D,Translation Y,3300,-2
2D,Translation Y,3700,0
2D,Translation Y,5700,0
2D,Translation Y,5800,2
2D,Translation Y,6100,0
2D,Translation Y,6300,4
2D,Translation Y,6800,0
3D,Translation X,0,0
3D,Translation X,2900,0
3D,Translation X,3000,2
3D,Translation X,3500,0
3D,Translation X,5500,0
3D,Translation X,6000,-5
3D,Translation X,6100,-3
3D,Translation X,6500,0
3D,Translation Y,0,0
3D,Translation Y,1900,0
3D,Translation Y,2000,-3
3D,Translation Y,2500,0
3D,Translation Y,3200,0
3D,Translation Y,3300,-2
3D,Translation Y,3700,0
3D,Translation Y,5700,0
3D,Translation Y,5800,2
3D,Translation Y,6100,0
3D,Translation Y,6300,4
3D,Translation Y,6800,0
3D,Translation Z,0,1.75
3D,Rotation 3D X,0,0
3D,Rotation 3D X,2000,1
3D,Rotation 3D X,3300,0
3D,Rotation 3D X,5000,-1
3D,Rotation 3D X,5500,0
3D,Rotation 3D X,7000,-1
3D,Rotation 3D X,8000,0
3D,Rotation 3D Y,0,0
3D,Rotation 3D Y,2000,1
3D,Rotation 3D Y,2500,0
3D,Rotation 3D Y,3500,1
3D,Rotation 3D Y,4000,0
3D,Rotation 3D Y,4900,-1
3D,Rotation 3D Y,5250,0
3D,Rotation 3D Y,5950,0
3D,Rotation 3D Y,6000,-3
3D,Rotation 3D Y,6200,0
3D,Rotation 3D Y,6490,0
3D,Rotation 3D Y,6500,-3
3D,Rotation 3D Y,6600,-5
3D,Rotation 3D Y,6610,0
3D,Rotation 3D Y,7600,0
3D,Rotation 3D Y,7700,1
3D,Rotation 3D Y,8100,0
3D,Rotation 3D Z,0,0
