id,text,frameno
0,"Amidst the sun's fading light, shadows fall,",0
1,"A hurried world, heedless of nature's call.",30
2,"Not great, the price we pay for progress' gain,",60
3,"Struggling souls, estranged from nature's domain.",90
4,"The silver screen, a spectacle of show,",120
5,Hides deeper truths we're meant to know.,150
6,"Lines of discontent, bleeding on life's floor,",180
7,"Rejection's mark, a society's closed door.",210
8,"For whom this tale of industrial might,",240
9,"A riddle posed, our humanity's plight.",270
10,"Fires to quench, a relentless race,",300
11,Choirs' sweet songs lost in this crowded space.,330
12,"The blaring noise, drowning nature's sound,",360
13,"As night descends, our souls are bound.",390
14,"Credits roll, direction sought in vain,",420
15,"A purpose lost, amidst progress' chain.",450
16,"A story woven, filled with strife,",480
17,"Monotonous cycles, draining life.",510
18,"An unlikeable path, we blindly tread,",540
19,"In post, redemption's chance lies ahead.",570
20,"Shutting doors on the truth we hide,",600
21,"Overexposed, our souls denied.",630
22,"Tears unshed, emotions suppressed,",660
23,"The pain unseen, a silent protest.",690
24,"All day we toil, industrial hymns play,",720
25,"The end is nearing, nature's dismay.",750
26,"In edits, we find a future obscured,",780
27,"An industrial society, its future secured.",810
