frameno,prompt,2d-zoom,2d-angle,2d-transformcenterx,2d-transformcentery,shared-translationx,shared-translationy,3d-translationz,3d-rotationx,3d-rotationy,3d-rotationz
0,"For this very night there stood before me an angel of the God to whom I belong and whom I worship,, style of Louis Rhead",0.995,0,0.5,0.5,0,0,1.75,0,0,0
50,,1,,0.6,0.4,,,,,,
100,,1.005,,0.5,,,,,,,
150,,,,0.4,0.3,0,,,,,
200,"and he said, 'Do not be afraid, Paul; you must stand before Caesar. And behold, God has granted you all those who sail with you.', style of Alexander Jansson, style of Arthur Rackham",,,0.3,,-1,,,,,
250,,1.005,0,,,-2,,,0,,
300,"So take heart, men, for I have faith in God that it will be exactly as I have been told., style of Arthur Sarnoff",1.05,0.5,0.4,,-1,,,1,,
350,,1.1,0.8,0.5,0.5,0,,,,0,
400,"But we must run aground on some island."", style of John Perceval, style of HR Giger, style of Harvey Kurtzman",1,0.5,,,,,,,-1,
450,,1.05,0,,,,0,,0,,
500,,1.1,,,,,1,,,0,
550,"When the fourteenth night had come, as we were being driven across the Adriatic Sea, about midnight the sailors suspected that they were nearing land., style of Bob Peak",1.005,,0.6,0.5,,2,,,,
600,,1,0,,0.6,0,1,,0,,
650,,0.99,0.4,,0.7,-1,0,,-1,,
700,"So they took a sounding and found twenty fathoms. A little farther on they took a sounding again and found fifteen fathoms., style of Guy Denning, style of Daniel Merriam",1,0,,,,,,,0,
750,,,,,0.6,0,,,,-1,
800,"And fearing that we might run on the rocks, they let down four anchors from the stern and prayed for day to come., style of Giorgio Morandi, style of Daniel Merriam, style of Trina Robbins",,,,,0,0,,0,,
850,,1,,0.5,0.5,1,-1,,,,
900,,1.005,,,,,,,,0,
950,"And as the sailors were seeking to escape from the ship, and had lowered the ship's boat into the sea under pretense of laying out anchors from the bow,, style of Harvey Kurtzman",,0,,,0,-2,,,0,
1000,,,-0.5,0.6,,,0,,0,1,
1050,"Paul said to the centurion and the soldiers, ""Unless these men stay in the ship, you cannot be saved."", style of Esao Andrews, style of Mattias Adolfsson, style of Marcin Jakubowski",,,0.7,,,,,-0.5,,
1100,,1,-0.6,0.8,,0,,,,0,
1150,,0.995,-0.8,,0.4,1,0,,-1,,
1200,"Then the soldiers cut away the ropes of the ship's boat and let it go., style of Louis Rhead, style of Coles Phillips, style of Giorgio Morandi",1,-0.2,,,,1,,,,
1250,,0.995,0,0.7,,0,-1,,-2,,
1300,"As day was about to dawn, Paul urged them all to take some food, saying, ""Today is the fourteenth day that you have continued in suspense and without food, having taken nothing., style of Andre Masson, style of Jacek Yerka",1,,,0.3,0,0,,-0.5,0,
1350,,1.1,,0.6,,-1,,,,-1,
1400,,1.05,0,0.5,,,,,0,,
1450,"Therefore I urge you to take some food. For it will give you strength, for not a hair is to perish from the head of any of you."", style of Esteban Maroto",1.005,-0.3,0.4,0.2,,0,,0,-2,
1500,,,-0.1,,,0,-2,,-2,-1,
1550,"And when he had said these things, he took bread, and giving thanks to God in the presence of all he broke it and began to eat., style of Ansel Adams, style of Barry McGee",,0,0.5,0.5,,-1,,-1,0,
1600,,,,,,0,0,,0,,
1650,,,,,,1,,,,0,
1700,"Then they all were encouraged and ate some food themselves., style of John Atkinson Grimshaw, style of Alexander Jansson",1.005,0,,,2,,,,-1,
1750,,1.05,-0.3,0.4,0.6,0,0,,0,,
1800,,1.1,-0.1,,,,1,,1,,
1850,"(We were in all 276 persons in the ship.), style of Scott Naismith, style of Alex Ross",1,,,0.7,,0,,2,,
1900,,1.005,0,,,0,,,1,0,
1950,"And when they had eaten enough, they lightened the ship, throwing out the wheat into the sea., style of Arthur Rackham",,,,0.8,1,,,,,
2000,,,,0.5,,,,,0,0,
2050,"Now when it was day, they did not recognize the land, but they noticed a bay with a beach, on which they planned if possible to run the ship ashore., style of Anton Pieck",,,,,,,,,-1,
2100,,,0,0.6,0.7,0,,,0,0,
2150,"So they cast off the anchors and left them in the sea, at the same time loosening the ropes that tied the rudders. Then hoisting the foresail to the wind they made for the beach., style of Android Jones, style of Barry McGee",1.05,0.5,,,0,0,,-1,1,
2200,,,,,,-1,1,,0,0,
2250,,,0,0.7,,-2,,,1,,
2300,"But striking a reef, they ran the vessel aground. The bow stuck and remained immovable, and the stern was being broken up by the surf., style of Ansel Adams, style of Kay Nielsen, style of Johannes Itten",1.1,,0.6,0.6,,0,,,0,
2350,,,,,,-1,,,,1,
2400,"The soldiers' plan was to kill the prisoners, lest any should swim away and escape., style of John Perceval, style of Guweiz",1.005,,0.5,,0,0,,0,0,
2450,,1,,,,,1,,0,,
2500,"But the centurion, wishing to save Paul, kept them from carrying out their plan. He ordered those who could swim to jump overboard first and make for the land,, style of Anna Dittmann",0.995,0,0.5,0.5,,0,,-1,,
2550,,,,,,0,-1,,0,,
2600,,,,,,1,,,,0,
