id,prompt,frameno
0,"For this very night there stood before me an angel of the God to whom I belong and whom I worship,, style of Louis Rhead",0
1,"and he said, 'Do not be afraid, Paul; you must stand before Caesar. And behold, God has granted you all those who sail with you.', style of Alexander Jansson, style of Arthur Rackham",153
2,"So take heart, men, for I have faith in God that it will be exactly as I have been told., style of Arthur Sarnoff",297
3,"But we must run aground on some island."", style of John Perceval, style of HR Giger, style of Harvey Kurtzman",382
4,"When the fourteenth night had come, as we were being driven across the Adriatic Sea, about midnight the sailors suspected that they were nearing land., style of Bob Peak",520
5,"So they took a sounding and found twenty fathoms. A little farther on they took a sounding again and found fifteen fathoms., style of Guy Denning, style of Daniel Merriam",657
6,"And fearing that we might run on the rocks, they let down four anchors from the stern and prayed for day to come., style of Giorgio Morandi, style of Daniel Merriam, style of Trina Robbins",773
7,"And as the sailors were seeking to escape from the ship, and had lowered the ship's boat into the sea under pretense of laying out anchors from the bow,, style of Harvey Kurtzman",912
8,"Paul said to the centurion and the soldiers, ""Unless these men stay in the ship, you cannot be saved."", style of Esao Andrews, style of Mattias Adolfsson, style of Marcin Jakubowski",1025
9,"Then the soldiers cut away the ropes of the ship's boat and let it go., style of Louis Rhead, style of Coles Phillips, style of Giorgio Morandi",1169
10,"As day was about to dawn, Paul urged them all to take some food, saying, ""Today is the fourteenth day that you have continued in suspense and without food, having taken nothing., style of Andre Masson, style of Jacek Yerka",1283
11,"Therefore I urge you to take some food. For it will give you strength, for not a hair is to perish from the head of any of you."", style of Esteban Maroto",1411
12,"And when he had said these things, he took bread, and giving thanks to God in the presence of all he broke it and began to eat., style of Ansel Adams, style of Barry McGee",1501
13,"Then they all were encouraged and ate some food themselves., style of John Atkinson Grimshaw, style of Alexander Jansson",1669
14,"(We were in all 276 persons in the ship.), style of Scott Naismith, style of Alex Ross",1803
15,"And when they had eaten enough, they lightened the ship, throwing out the wheat into the sea., style of Arthur Rackham",1932
16,"Now when it was day, they did not recognize the land, but they noticed a bay with a beach, on which they planned if possible to run the ship ashore., style of Anton Pieck",2023
17,"So they cast off the anchors and left them in the sea, at the same time loosening the ropes that tied the rudders. Then hoisting the foresail to the wind they made for the beach., style of Android Jones, style of Barry McGee",2119
18,"But striking a reef, they ran the vessel aground. The bow stuck and remained immovable, and the stern was being broken up by the surf., style of Ansel Adams, style of Kay Nielsen, style of Johannes Itten",2281
19,"The soldiers' plan was to kill the prisoners, lest any should swim away and escape., style of John Perceval, style of Guweiz",2380
20,"But the centurion, wishing to save Paul, kept them from carrying out their plan. He ordered those who could swim to jump overboard first and make for the land,, style of Anna Dittmann",2499
21,"and the rest on planks or on pieces of the ship. And so it was that all were brought safely to land., style of Ansel Adams",2601
