id,prompt,frameno
0,"For this very night there stood before me an angel of the God to whom I belong and whom I worship,",0
1,"and he said, 'Do not be afraid, Paul; you must stand before Caesar. And behold, God has granted you all those who sail with you.'",90
2,"So take heart, men, for I have faith in God that it will be exactly as I have been told.",175
3,"But we must run aground on some island.""",225
4,"When the fourteenth night had come, as we were being driven across the Adriatic Sea, about midnight the sailors suspected that they were nearing land.",306
5,So they took a sounding and found twenty fathoms. A little farther on they took a sounding again and found fifteen fathoms.,387
6,"And fearing that we might run on the rocks, they let down four anchors from the stern and prayed for day to come.",455
7,"And as the sailors were seeking to escape from the ship, and had lowered the ship's boat into the sea under pretense of laying out anchors from the bow,",537
8,"Paul said to the centurion and the soldiers, ""Unless these men stay in the ship, you cannot be saved.""",603
9,Then the soldiers cut away the ropes of the ship's boat and let it go.,688
10,"As day was about to dawn, Paul urged them all to take some food, saying, ""Today is the fourteenth day that you have continued in suspense and without food, having taken nothing.",755
11,"Therefore I urge you to take some food. For it will give you strength, for not a hair is to perish from the head of any of you.""",830
12,"And when he had said these things, he took bread, and giving thanks to God in the presence of all he broke it and began to eat.",883
13,Then they all were encouraged and ate some food themselves.,982
14,(We were in all 276 persons in the ship.),1061
15,"And when they had eaten enough, they lightened the ship, throwing out the wheat into the sea.",1137
16,"Now when it was day, they did not recognize the land, but they noticed a bay with a beach, on which they planned if possible to run the ship ashore.",1190
17,"So they cast off the anchors and left them in the sea, at the same time loosening the ropes that tied the rudders. Then hoisting the foresail to the wind they made for the beach.",1247
18,"But striking a reef, they ran the vessel aground. The bow stuck and remained immovable, and the stern was being broken up by the surf.",1342
19,"The soldiers' plan was to kill the prisoners, lest any should swim away and escape.",1400
20,"But the centurion, wishing to save Paul, kept them from carrying out their plan. He ordered those who could swim to jump overboard first and make for the land,",1470
21,and the rest on planks or on pieces of the ship. And so it was that all were brought safely to land.,1530
