id,prompt,frameno
0,"And when it was decided that we should sail for Italy, they delivered Paul and some other prisoners to a centurion of the Augustan Cohort named Julius., style of Alex Ross, style of Norman Rockwell",0
1,"And embarking in a ship of Adramyttium, which was about to sail to the ports along the coast of Asia, we put to sea, accompanied by Aristarchus, a Macedonian from Thessalonica., style of Anton Pieck",83
2,"The next day we put in at Sidon. And Julius treated Paul kindly and gave him leave to go to his friends and be cared for., style of Greg Rutkowski",159
3,"And putting out to sea from there we sailed under the lee of Cyprus, because the winds were against us., style of Anton Pieck",231
4,"And when we had sailed across the open sea along the coast of Cilicia and Pamphylia, we came to Myra in Lycia., style of Andre Masson, style of John Atkinson Grimshaw, style of Santiago Caruso",332
5,"There the centurion found a ship of Alexandria sailing for Italy and put us on board., style of Naoto Hattori, style of Guo Pei",431
6,"We sailed slowly for a number of days and arrived with difficulty off Cnidus, and as the wind did not allow us to go farther, we sailed under the lee of Crete off Salmone., style of Emily Balivet",497
7,"Coasting along it with difficulty, we came to a place called Fair Havens, near which was the city of Lasea., style of Barry McGee, style of John Atkinson Grimshaw",605
8,"Since much time had passed, and the voyage was now dangerous because even the Fast was already over, Paul advised them,, style of Andre Masson, style of Ambrosius Holbein",730
9,"saying, ""Sirs, I perceive that the voyage will be with injury and much loss, not only of the cargo and the ship, but also of our lives."", style of John James Audubon",855
10,"But the centurion paid more attention to the pilot and to the owner of the ship than to what Paul said., style of Esteban Maroto, style of Hannah Yata",942
11,"And because the harbor was not suitable to spend the winter in, the majority decided to put out to sea from there, on the chance that somehow they could reach Phoenix, a harbor of Crete, facing both southwest and northwest, and spend the winter there., style of Anna Dittmann, style of Francesco del Cossa",1010
12,"Now when the south wind blew gently, supposing that they had obtained their purpose, they weighed anchor and sailed along Crete, close to the shore., style of Guy Denning, style of Esteban Maroto, style of Coles Phillips",1086
13,"But soon a tempestuous wind, called the northeaster, struck down from the land., style of Francesco del Cossa, style of Marc Chagall, style of Esao Andrews",1179
14,"And when the ship was caught and could not face the wind, we gave way to it and were driven along., style of John Perceval, style of Hannah Yata, style of Francesco Francavilla",1253
15,"Running under the lee of a small island called Cauda, we managed with difficulty to secure the ship's boat., style of Francesco del Cossa, style of Guweiz, style of Marcin Jakubowski",1333
16,"After hoisting it up, they used supports to undergird the ship. Then, fearing that they would run aground on the Syrtis, they lowered the gear, and thus they were driven along., style of Trina Robbins, style of Mattias Adolfsson",1414
17,"Since we were violently storm-tossed, they began the next day to jettison the cargo., style of Marc Chagall",1527
18,"And on the third day they threw the ship's tackle overboard with their own hands., style of Eugène Atget, style of Guo Pei, style of Harvey Kurtzman",1652
19,"When neither sun nor stars appeared for many days, and no small tempest lay on us, all hope of our being saved was at last abandoned., style of Anton Pieck, style of Alex Ross, style of Coles Phillips",1777
20,"Since they had been without food for a long time, Paul stood up among them and said, ""Men, you should have listened to me and not have set sail from Crete and incurred this injury and loss., style of Norman Rockwell",1869
21,"Yet now I urge you to take heart, for there will be no loss of life among you, but only of the ship., style of Anna Dittmann, style of Hannah Yata, style of Alexander Jansson",1974
22,"For this very night there stood before me an angel of the God to whom I belong and whom I worship,, style of Norman Rockwell, style of Alexander Jansson",2083
23,"and he said, 'Do not be afraid, Paul; you must stand before Caesar. And behold, God has granted you all those who sail with you.', style of Giorgio Morandi, style of John Perceval, style of Mattias Adolfsson",2160
24,"So take heart, men, for I have faith in God that it will be exactly as I have been told., style of Emily Balivet, style of Ambrosius Holbein",2238
25,"But we must run aground on some island."", style of Giorgio Morandi, style of Eugène Atget, style of Android Jones",2303
26,"When the fourteenth night had come, as we were being driven across the Adriatic Sea, about midnight the sailors suspected that they were nearing land., style of Norman Rockwell, style of Louis Rhead",2428
27,"So they took a sounding and found twenty fathoms. A little farther on they took a sounding again and found fifteen fathoms., style of John James Audubon, style of Giorgio Morandi",2501
28,"And fearing that we might run on the rocks, they let down four anchors from the stern and prayed for day to come., style of Misha Gordin, style of Francesco del Cossa",2588
29,"And as the sailors were seeking to escape from the ship, and had lowered the ship's boat into the sea under pretense of laying out anchors from the bow,, style of Norman Rockwell, style of Barry McGee, style of Coles Phillips",2687
30,"Paul said to the centurion and the soldiers, ""Unless these men stay in the ship, you cannot be saved."", style of John James Audubon, style of Ralph Gibson, style of Marc Chagall",2757
31,"Then the soldiers cut away the ropes of the ship's boat and let it go., style of Ansel Adams, style of Harvey Kurtzman",2839
32,"As day was about to dawn, Paul urged them all to take some food, saying, ""Today is the fourteenth day that you have continued in suspense and without food, having taken nothing., style of Alexander Jansson",2913
33,"Therefore I urge you to take some food. For it will give you strength, for not a hair is to perish from the head of any of you."", style of Daniel Merriam, style of Lotte Reiniger, style of Bob Peak",2996
34,"And when he had said these things, he took bread, and giving thanks to God in the presence of all he broke it and began to eat., style of Misha Gordin",3090
35,"Then they all were encouraged and ate some food themselves., style of Guy Denning, style of Alex Grey",3170
36,"(We were in all 276 persons in the ship.), style of Barry McGee, style of Aristarkh Lentulov",3270
37,"And when they had eaten enough, they lightened the ship, throwing out the wheat into the sea., style of Greg Rutkowski, style of Harvey Kurtzman, style of Trina Robbins",3343
38,"Now when it was day, they did not recognize the land, but they noticed a bay with a beach, on which they planned if possible to run the ship ashore., style of Arthur Rackham, style of Kay Nielsen",3416
39,"So they cast off the anchors and left them in the sea, at the same time loosening the ropes that tied the rudders. Then hoisting the foresail to the wind they made for the beach., style of Alexander Jansson",3507
40,"But striking a reef, they ran the vessel aground. The bow stuck and remained immovable, and the stern was being broken up by the surf., style of Beatrix Potter, style of Guy Denning",3602
41,"The soldiers' plan was to kill the prisoners, lest any should swim away and escape., style of Marc Chagall, style of Alex Ross",3710
42,"But the centurion, wishing to save Paul, kept them from carrying out their plan. He ordered those who could swim to jump overboard first and make for the land,, style of Giorgio Morandi, style of John Atkinson Grimshaw, style of William Eggleston",3831
43,"and the rest on planks or on pieces of the ship. And so it was that all were brought safely to land., style of Mattias Adolfsson",3936
