id,name,birth,death,checkpoint,categories,extrainfo
1,"Abbey, Edwin Austin",1852,1911,Deliberate 2.0,"Illustration, Painting, Oil, Pastel, Ink, USA, 19th Century",
2,"Achenbach, Andreas",1815,1910,Deliberate 2.0,"Painting, Oil, Landscape, Marine, Germany, 19th Century",
3,"Ackroyd, Norman",1938,,DreamShaper 3.2,"Aquatint, Landscape, B&W, UK",
4,"Adams, Ansel",1902,1984,Deliberate 2.0,"Photography, Landscape, B&W, USA",
5,"Adams, Art (Arthur)",1963,,Deliberate 2.0,"Illustration, Comic, DC Comics, Marvel, Cover Art, B&W, USA","512px + Highres. Fix, DPM++ 2M Karras, Denoising 0.6"
6,"Adams, Neal",1941,2022,Deliberate 2.0,"Illustration, Comic, DC Comics, Marvel, Cover Art, USA","512px + Highres. Fix, sometimes problems with eyes"
7,"Adolfsson, Mattias",1965,,Deliberate 2.0,"Illustration, Watercolor, Ink, Sweden",
8,"Aenami, Alena",,,Deliberate 2.0,"Illustration, Concept Art, Landscape, Ukraine",
9,"Afremov, Leonid",1955,2019,Deliberate 2.0,"Painting, Belarus",
10,"Afshar, Petros",,,DreamShaper 3.2,"Illustration, UK",
11,"Aivazovsky, Ivan",1817,1900,Deliberate 2.0,"Painting, Oil, Marine, Crimea, 19th Century",
12,"Aja, David",1977,,Deliberate 2.0,"Illustration, Comic, Cover Art, Spain",
13,"Albi, Alessio",1986,,Deliberate 2.0,"Photography, Portrait, Italy",
14,"Albuquerque, Rafael",1981,,DreamShaper 3.2,"Comic, DC Comics, Brazil",
15,"Aldridge, Miles",1964,,Deliberate 2.0,"Photography, Portrait, UK",
16,"Alizadeh, Shahab",,,DreamShaper 3.2,"Illustration, Concept Art, Austria",
17,"Allred, Mike",1969,,DreamShaper 3.2,"Comic, DC Comics, USA",
18,"Altdorfer, Albrecht",1480,1538,Deliberate 2.0,"Painting, Oil, Engraving, Germany, 16th Century",
19,"Amano, Yoshitaka",1952,,DreamShaper 3.2,"Illustration, Character Design, Game Art, Japan",512px + Highres. Fix
20,"Amaral, Tarsila do",1886,1973,Deliberate 2.0,"Painting, Oil, Brazil",
21,"Amiet, Cuno",1868,1961,Deliberate 2.0,"Painting, Oil, Landscape, Portrait, Expressionism, Switzerland",
22,"Amorsolo, Fernando",1892,1972,Deliberate 2.0,"Painting, Oil, Portrait, Landscape, Philippines",
23,"Anacleto, Jay",,,Deliberate 2.0,"Comic, DC Comics, Marvel, Cover Art, USA",
24,"Ancher, Anna",1859,1935,DreamShaper 3.2,"Painting, Oil, Portrait, Denmark, 19th Century",
25,"Anderson, Richard",,,Deliberate 2.0,"Illustration, Concept Art, Game Art, UK",
26,"Anderson, Wes",1969,,Deliberate 2.0,"Movie Director, USA",
27,"Andreev, Alex",1972,,DreamShaper 3.2,"Illustration, Concept Art, Russia",
28,"Andrews, Esao",1978,,Deliberate 2.0,"Painting, Oil, Surrealism, USA",512px + Highres. Fix (1024)
29,"Ansin, Martin",,,DreamShaper 3.2,"Illustration, Poster, B&W, Uruguay",
30,"Aoshima, Chiho",1974,,DreamShaper 3.2,"Illustration, Superflat, Japan",512px + Highres. Fix
31,"Appel, Karel",1921,2006,DreamShaper 3.2,"Painting, Oil, Acrylic, Abstract, Netherlands",
32,"Apterus, Sabbas (Peter Polach)",,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Horror, Slovakia",
33,"Archipenko, Alexander",1887,1964,Deliberate 2.0,"Sculpture, Painting, Ink, Oil, Gouache, Cubism, Ukraine, USA",
34,"Arcimboldo, Giuseppe",1526,1593,Deliberate 2.0,"Painting, Oil, Still Life, Botanical, Italy, 16th Century",
35,"Ardon, Mordecai",1896,1992,Deliberate 2.0,"Painting, Oil, Poland, Israel",
36,"Armstrong, Rolf",1889,1960,Deliberate 2.0,"Painting, Pastel, Portrait, Pin-Ups, Cover Art, Nudity, USA",
37,"Arnegger, Alois",1879,1963,Deliberate 2.0,"Painting, Oil, Landscape, Austria",
38,"Arntzenius, Floris",1864,1925,DreamShaper 3.2,"Illustration, Painting, Oil, Watercolor, Portrait, Landscape, Netherlands, 19th Century",
39,"Arrivabene, Agostino",1967,,Deliberate 2.0,"Illustration, Painting, Oil, Ink, Surrealism, Italy",768px + Highres. Fix
40,Artgerm (Stanley Lau),,,DreamShaper 3.2,"Illustration, Concept Art, Marvel, DC Comics",
41,"Asencio, Henry",1971,,DreamShaper 3.2,"Painting, Oil, USA",
42,"Ast, Balthasar van der",1593,1657,Deliberate 2.0,"Painting, Still Life, Oil, Botanical, 17th Century",
43,"Astrup, Nikolai",1880,1928,Deliberate 2.0,"Painting, Woodcut, Norway",
44,"Atget, Eugène",1857,1927,DreamShaper 3.2,"Photography, Portrait, Landscape, B&W, France, 19th Century",
45,"Audubon, John James",1785,1851,DreamShaper 3.2,"Illustration, Ornithology, Haiti, 19th Century",
46,"Auerbach, Frank",1931,,Deliberate 2.0,"Painting, Oil, Portrait, UK",
47,"Avedon, Richard",1923,2004,Deliberate 2.0,"Photography, Portrait, B&W, USA",
48,"Bachalo, Chris",1965,,Deliberate 2.0,"Comic, DC Comics, Marvel, B&W, Canada","eyes are difficult, DPM++ SDE Karras, Highres. Fix, Denoising Strength 0.7"
49,"Bachelier, Anne",1949,,Deliberate 2.0,"Illustration, Painting, Watercolor, Surrealism, France",
50,"Bagshaw, Tom",,,Deliberate 2.0,"Painting, Portrait, UK",
51,"Bailly, Alice",1872,1938,Deliberate 2.0,"Painting, Oil, Tempera, Portrait, Cubism, Switzerland",
52,"Bak, Karol",1961,,DreamShaper 3.2,"Illustration, Painting, Portrait, Poland",
53,"Bakshi, Ralph",1938,,Deliberate 2.0,"Movie Director, Animation, Comic, Palestine, USA","512px + Highres. Fix, DPM++ SDE Karras, had to use [from:to:when] for H.C."
54,"Balaskas, Christopher",,,DreamShaper 3.2,"Concept Art, Character Design, Game Art, USA",
55,"Balivet, Emily",1973,,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, USA","768px + Highres. Fix, difficult to prompt men, had to use [from:to:when]"
56,"Balke, Peder",1804,1887,Deliberate 2.0,"Painting, Landscape, Oil, Norway, 19th Century",
57,"Bana, Benedick",,,DreamShaper 3.2,"Concept Art, Sci-Fi, Philippines",
58,"Barbier, George",1882,1932,DreamShaper 3.2,"Illustration, Painting, France",
59,"Barker, Clive",1952,,Deliberate 2.0,"Author, Painting, Horror, Fantasy, UK",
60,"Barlowe, Wayne",1958,,DreamShaper 3.2,"Illustration, Painting, Concept Art, Fantasy, Sci-Fi, Horror, USA",
61,"Barnes, Ernie",1938,2009,Deliberate 2.0,"Painting, Oil, Acrylic, Portrait, USA",
62,"Barnet, Will",1911,2012,Deliberate 2.0,"Illustration, Painting, Oil, Watercolor, Portrait, USA",
63,"Barrett, Angela",1955,,DreamShaper 3.2,"Illustration, Watercolor, Gouache, Children's Book, UK",
64,"Barson, Paul",,,DreamShaper 3.2,"Photography, Botanical, USA",
65,"Bartlett, Bo",1955,,Deliberate 2.0,"Painting, Oil, Portrait, Realism, USA",
66,"Baugh, Casey",1984,,Deliberate 2.0,"Painting, Oil, Portrait, USA",
67,"Beal, Gifford",1879,1956,DreamShaper 3.2,"Painting, Watercolor, Landscape, USA",
68,"Beardsley, Aubrey",1872,1898,DreamShaper 3.2,"Illustration, B&W, UK",
69,Beatrix Potter,1866,1943,DreamShaper 3.2,"Illustration, Watercolor, Children's Book, UK",
70,Beeple (Mike Winkelmann),1981,,DreamShaper 3.2,"Concept Art, Sci-Fi, USA",
71,"Beksiński, Zdzisław",1929,2005,DreamShaper 3.2,"Painting, Horror, Poland",
72,"Bellmer, Hans",1902,1975,Deliberate 2.0,"Photography, Visual Arts, Germany",
73,"Bellows, George Wesley",1882,1925,Deliberate 2.0,"Painting, Oil, Portrait, USA",
74,"Bemelmans, Ludwig",1898,1962,Deliberate 2.0,"Illustration, Watercolor, Gouache, Austria, USA","512px + Highres. Fix, high denoise"
75,"Benois, Alexandre",1870,1960,Deliberate 2.0,"Painting, Oil, Watercolor, Russia","quite different, but maybe still useful"
76,"Bergey, Earle K.",1901,1952,DreamShaper 3.2,"Illustration, Painting, Cover Art, Pin-Ups, USA",
77,"Berkey, John",1932,2008,DreamShaper 3.2,"Painting, Sci-Fi, Star Wars, USA",
78,"Bernini, Gian Lorenzo",1598,1680,Deliberate 2.0,"Sculpture, Marble, Painting, Baroque, Italy, 17th Century","also did paintings, but defaults to sculptures/statues"
79,"Beskow, Elsa",1874,1953,DreamShaper 3.2,"Illustration, Watercolor, Children's Book, Cover Art, Sweden",difficult to prompt
80,"Bidgood, James",1933,2022,Deliberate 2.0,"Movie Director, Photography, USA",
81,"Biernacki, Szymon",,,DreamShaper 3.2,"Illustration, Animation, Character Design, Spain",
82,"Bierstadt, Albert",1830,1902,Deliberate 2.0,"Painting, Oil, Landscape, USA, 19th Century",
83,"Biggers, John Thomas",1924,2001,Deliberate 2.0,"Painting, Oil, Acrylic, Portrait, USA",
84,"Bilal, Enki",1951,,DreamShaper 3.2,"Illustration, Comic, France",
85,"Bilibin, Ivan",1876,1942,Deliberate 2.0,"Illustration, Painting, Watercolor, Ink, Gouache, Art Nouveau, Russia",
86,"Billy, Butcher",1978,,Deliberate 2.0,"Illustration, Painting, Cover Art, Brazil",
87,"Binkley, Ed",,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Game Art, USA",
88,"Bischoff, Elmer",1916,1991,Deliberate 2.0,"Painting, Oil, Acrylic, Portrait, USA",
89,"Bisley, Simon",1962,,DreamShaper 3.2,"Comic, UK",
90,"Bissell, Robert",1952,,Deliberate 2.0,"Painting, Oil, UK",
91,"Blair, Mary",1911,1978,Deliberate 2.0,"Illustration, Disney, USA","512px + Highres. Fix, DPM2, 40 Steps"
92,"Blanchard, Antoine",1910,1988,Deliberate 2.0,"Painting, Oil, Cityscape, France",
93,"Blanche, John",1948,,DreamShaper 3.2,"Illustration, Fantasy, Sci-Fi, Warhammer, UK",
94,"Blandin, Tim",,,DreamShaper 3.2,"Concept Art, Sci-Fi","sparse info, deleted DeviantArt and ArtStation profiles"
95,"Blevins, Neil",1976,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Game Art, USA",
96,"Boccioni, Umberto",1882,1916,Deliberate 2.0,"Painting, Oil, Portrait, Futurism, Italy",
97,"Bolland, Brian",1951,,Deliberate 2.0,"Illustration, Comic, DC Comics, Cover Art, UK",
98,"Bonestell, Chesley",1888,1986,Deliberate 2.0,"Illustration, Painting, Oil, Gouache, Sci-Fi, USA",
99,"Bonhomme, Olivier",,,Deliberate 2.0,"Illustration, France",
100,"Booth, Franklin",1874,1948,DreamShaper 3.2,"Illustration, Watercolor, Ink, USA",
101,"Bors, Matt",1983,,DreamShaper 3.2,"Illustration, Comic, USA",512px + Highres. Fix
102,"Bosch, Hieronymus",1450,1516,Deliberate 2.0,"Painting, Oil, Netherlands, 15th Century",
103,"Bosma, Sam",1986,,DreamShaper 3.2,"Illustration, Comic, Graphic Novel, Cover Art, USA",
104,"Bosschaert, Ambrosius (the Elder)",1573,1621,Deliberate 2.0,"Painting, Oil, Still Life, Botanical, Flemish, 17th Century",
105,"Bosschart, Johfra",1919,1998,DreamShaper 3.2,"Illustration, Painting, Surrealism, Netherlands",
106,Botero,1932,,Deliberate 2.0,"Painting, Oil, Colombia",
107,"Botticelli, Sandro",1445,1510,Deliberate 2.0,"Painting, Oil, Italy, 15th Century",
108,"Boucher, François",1703,1770,Deliberate 2.0,"Painting, Illustration, Engraving, Portrait, Rococo, France, 18th Century","512px + Highres. Fix, DPM2, 40 Steps"
109,"Bowater, Charlie",1988,,Deliberate 2.0,"Illustration, Concept Art, Portrait, UK",
110,"Bowers, David Michael",1956,,DreamShaper 3.2,"Illustration, Painting, Oil, Cover Art, Surrealism, USA",
111,"Bowling, Frank",1934,,DreamShaper 3.2,"Painting, Acrylic, Expressionism, UK",
112,"Boys, Thomas Shotter",1803,1874,Deliberate 2.0,"Painting, Watercolor, Cityscape, UK",Thomas the Tank Engine likes to show up
113,"Bradley, Noah",,,DreamShaper 3.2,"Concept Art, DnD, MTG, USA",
114,"Bramley, Frank",1857,1915,DreamShaper 3.2,"Painting, Oil, UK, 19th Century",
115,"Bridgman, George B.",1864,1943,DreamShaper 3.2,"Painting, Landscape, Portrait, Canada",
116,"Briggs, Austin",1908,1973,Deliberate 2.0,"Illustration, Comic, Cartoon, USA",
117,"Britto, Romero",1963,,Deliberate 2.0,"Painting, Acrylic, Pop-Art, Brazil",
118,"Brogan, Glen",,,DreamShaper 3.2,"Illustration, USA","512px + Highres. Fix, Euler A"
119,"Brom, Gerald",1965,,DreamShaper 3.2,"Illustration, Fantasy, Gothic, Horror, USA",
120,"Burne-Jones, Edward",1833,1898,DreamShaper 3.2,"Painting, Oil, Watercolor, Gouache, Stained Glass, Portrait, Mythology, UK, 19th Century",
121,"Burns, Jim",1948,,DreamShaper 3.2,"Illustration, Painting, Acrylic, Sci-Fi, Cover Art, UK",
122,"Bussière, Gaston",1862,1928,DreamShaper 3.2,"Illustration, Painting, Oil, Portrait, France, 19th Century",
