frameno,prompt,2d-zoom,2d-angle,2d-transformcenterx,2d-transformcentery,shared-translationx,shared-translationy,3d-translationz,3d-rotationx,3d-rotationy,3d-rotationz
0,,0.995,0,0.5,0.5,0,0,1.75,0,0,0
50,,1,,0.6,0.4,,,,,,
100,,1.005,,0.5,,,,,,,
150,,,,0.4,0.3,0,,,,,
200,,,,0.3,,-1,,,,,
250,,1.005,0,,,-2,,,0,,
300,,1.05,0.5,0.4,,-1,,,1,,
350,,1.1,0.8,0.5,0.5,0,,,,0,
400,,1,0.5,,,,,,,-1,
450,,1.05,0,,,,0,,0,,
500,,1.1,,,,,1,,,0,
550,,1.005,,0.6,0.5,,2,,,,
600,,1,0,,0.6,0,1,,0,,
650,,0.99,0.4,,0.7,-1,0,,-1,,
700,,1,0,,,,,,,0,
750,,,,,0.6,0,,,,-1,
800,,,,,,0,0,,0,,
850,,1,,0.5,0.5,1,-1,,,,
900,,1.005,,,,,,,,0,
950,,,0,,,0,-2,,,0,
1000,,,-0.5,0.6,,,0,,0,1,
1050,,,,0.7,,,,,-0.5,,
1100,,1,-0.6,0.8,,0,,,,0,
1150,,0.995,-0.8,,0.4,1,0,,-1,,
1200,,1,-0.2,,,,1,,,,
1250,,0.995,0,0.7,,0,-1,,-2,,
1300,,1,,,0.3,0,0,,-0.5,0,
1350,,1.1,,0.6,,-1,,,,-1,
1400,,1.05,0,0.5,,,,,0,,
1450,,1.005,-0.3,0.4,0.2,,0,,0,-2,
1500,,,-0.1,,,0,-2,,-2,-1,
1550,,,0,0.5,0.5,,-1,,-1,0,
1600,,,,,,0,0,,0,,
1650,,,,,,1,,,,0,
1700,,1.005,0,,,2,,,,-1,
1750,,1.05,-0.3,0.4,0.6,0,0,,0,,
1800,,1.1,-0.1,,,,1,,1,,
1850,,1,,,0.7,,0,,2,,
1900,,1.005,0,,,0,,,1,0,
1950,,,,,0.8,1,,,,,
2000,,,,0.5,,,,,0,0,
2050,,,,,,,,,,-1,
2100,,,0,0.6,0.7,0,,,0,0,
2150,,1.05,0.5,,,0,0,,-1,1,
2200,,,,,,-1,1,,0,0,
2250,,,0,0.7,,-2,,,1,,
2300,,1.1,,0.6,0.6,,0,,,0,
2350,,,,,,-1,,,,1,
2400,,1.005,,0.5,,0,0,,0,0,
2450,,1,,,,,1,,0,,
2500,,0.995,0,0.5,0.5,,0,,-1,,
2550,,,,,,0,-1,,0,,
2600,,,,,,1,,,,0,
2650,,,0,,,2,,,,-1,
2700,,0.99,-0.3,0.4,0.6,0,0,,0,,
2750,,,-0.1,,,,1,,1,,
2800,,1,,,0.7,,0,,2,,
2850,,1.005,0,,,0,,,1,0,
2900,,,,,0.8,1,,,,,
2950,,,,0.5,,,,,0,0,
3000,,,,,,,,,,-1,
3050,,,0,0.6,0.7,0,,,0,0,
3100,,1.05,0.5,,,0,0,,-1,1,
3150,,,,,,-1,1,,0,0,
3200,,,0,0.7,,-2,,,1,,
3250,,1.1,,0.6,0.6,,0,,,0,
3300,,,,,,-1,,,,1,
3350,,1.005,,0.5,,0,0,,0,0,
3400,,,0,,,0,,,1,0,
3450,,,,,0.8,1,,,,,
3500,,,,0.5,,,,,0,0,
3550,,,,,,,,,,-1,
3600,,1.005,0,0.6,0.7,0,,,0,0,
3650,,1.05,0.5,,,0,0,,-1,1,
3700,,,,,,-1,1,,0,0,
3750,,,0,0.7,,-2,,,1,,
3800,,1.1,,0.6,0.6,,0,,,0,
3850,,,,,,-1,,,,1,
3900,,1.005,,,,0,,,,0,
3950,,,,0.5,,,,,0,,
4000,,,,,,,,,,,
