frameno,prompt,2d-zoom,2d-angle,2d-transformcenterx,2d-transformcentery,shared-translationx,shared-translationy,3d-translationz,3d-rotationx,3d-rotationy,3d-rotationz
0,"flying around in a dystopian underworld high rise jungle, being chased by police, slums, neon signs, rain, machines, flying cars, noodles, cyborgs, humans, steam punk, mirrors, waters, style of Guweiz, style of Arthur Sarnoff, style of Naoto Hattori",0.995,0,0.5,0.5,0,0,1.75,0,0,0
50,,,,,,,,,,,
100,,,,,,,,,,,
150,,,,,,,,,,,
200,,,,,,,,,,,
250,,,,,,,,,,,
300,,,,,,,,,,,
350,,,,,,,,,,,
400,,,,,,,,,,,
450,,,,,,,,,,,
500,,,,,,,,,,,
550,,,,,,,,,,,
600,,,,,,,,,,,
650,,,,,,,,,,,
700,,,,,,,,,,,
750,,,,,,,,,,,
800,,,,,,,,,,,
850,,,,,,,,,,,
900,,,,,,,,,,,
950,,,,,,,,,,,
1000,,,,,,,,,,,
1050,,,,,,,,,,,
1100,,,,,,,,,,,
1150,,,,,,,,,,,
1200,,,,,,,,,,,
1250,,,,,,,,,,,
1300,,,,,,,,,,,
1350,,,,,,,,,,,
1400,,,,,,,,,,,
1450,,,,,,,,,,,
1500,,,,,,,,,,,
1550,,,,,,,,,,,
1600,,,,,,,,,,,
1650,,,,,,,,,,,
1700,,,,,,,,,,,
1750,,,,,,,,,,,
1800,,,,,,,,,,,
1850,,,,,,,,,,,
1900,,,,,,,,,,,
1950,,,,,,,,,,,
2000,,,,,,,,,,,
2050,,,,,,,,,,,
2100,,,,,,,,,,,
2150,,,,,,,,,,,
2200,,,,,,,,,,,
2250,,,,,,,,,,,
2300,,,,,,,,,,,
2350,,,,,,,,,,,
2400,,,,,,,,,,,
2450,,,,,,,,,,,
2500,,,,,,,,,,,
2550,,,,,,,,,,,
2600,,,,,,,,,,,
